text,primary_label,all_labels,num_labels,all_raw_scores,top_label,top_score,final_label
An Entrepreneur should have to tell me what should he want to do then I will give him a way to do that.,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",2.0,"{'Mindset and Motivation': 0.2787834294916441, 'Clarity of Business and Self-Understanding': 0.03784506022930145, 'Practical Preparation and Readiness': 0.12100585084408522, 'Technology and Platform Requirements': 0.20789374007532993, 'Business Information and Supporting Documents': 0.2581460525592168, 'No Preparation Needed': 0.08685989988346894, 'Time Availability and Commitment': 0.464661901195844, 'Product Presentation and Portfolio Materials': 0.45804652757942677, 'Contact Details and Communication Channels': 0.5463552474975586, 'Active Listening and Openness to Feedback': 0.713727593421936, 'Goal Clarity and Direction Setting': 0.6747902582089106, 'Understanding Mentor Background': 0.007218549745933463, 'Social Media and Digital Presence': 0.5758457432190577}",,,
Keberanian mencoba,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.952017068862915, 'Clarity of Business and Self-Understanding': 0.4240465561548869, 'Practical Preparation and Readiness': 0.767720361550649, 'Technology and Platform Requirements': 0.3409096834560235, 'Business Information and Supporting Documents': 0.5212268829345703, 'No Preparation Needed': 0.04635957349091768, 'Time Availability and Commitment': 0.5459499756495158, 'Product Presentation and Portfolio Materials': 0.6883278091748556, 'Contact Details and Communication Channels': 0.7782970468203226, 'Active Listening and Openness to Feedback': 0.8012425502141317, 'Goal Clarity and Direction Setting': 0.8342097600301107, 'Understanding Mentor Background': 0.5149583915869395, 'Social Media and Digital Presence': 0.7108546594778696}",,,
لا شئ.. المهم انه يكون، مستعد نفسيا + الاجتهاد,Practical Preparation and Readiness,['Practical Preparation and Readiness'],1.0,"{'Mindset and Motivation': 0.5094086478153864, 'Clarity of Business and Self-Understanding': 0.01539884057516853, 'Practical Preparation and Readiness': 0.7079195181528727, 'Technology and Platform Requirements': 0.0012728359821873407, 'Business Information and Supporting Documents': 0.004718154688210537, 'No Preparation Needed': 0.00022472699978000796, 'Time Availability and Commitment': 0.009609113292147716, 'Product Presentation and Portfolio Materials': 0.01083878225957354, 'Contact Details and Communication Channels': 0.007564970408566296, 'Active Listening and Openness to Feedback': 0.007093675124148528, 'Goal Clarity and Direction Setting': 0.0070611283493538695, 'Understanding Mentor Background': 0.1951626961429914, 'Social Media and Digital Presence': 0.0026548407040536404}",,,
"Nada ,  esta preparado para contar con honestidad su situacion actual. Tener la actitud de aprender de manera activa , que sintamos la necesidad mutua de resolver lo planteado. disponible con interes y compromiso.",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Understanding Mentor Background', 'Mindset and Motivation']",3.0,"{'Mindset and Motivation': 0.6296215876936913, 'Clarity of Business and Self-Understanding': 0.6120697855949402, 'Practical Preparation and Readiness': 0.4485376576582591, 'Technology and Platform Requirements': 0.2204734024902185, 'Business Information and Supporting Documents': 0.33499933282534283, 'No Preparation Needed': 0.7357649902502695, 'Time Availability and Commitment': 0.5924546470244726, 'Product Presentation and Portfolio Materials': 0.12424353137612343, 'Contact Details and Communication Channels': 0.4564569549014171, 'Active Listening and Openness to Feedback': 0.9496261278788248, 'Goal Clarity and Direction Setting': 0.1774065966407458, 'Understanding Mentor Background': 0.7709120710690817, 'Social Media and Digital Presence': 0.4307159607609113}",,,
They should have all their paperwork in order and ready to work.,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Business Information and Supporting Documents', 'Product Presentation and Portfolio Materials']",3.0,"{'Mindset and Motivation': 0.22893263151248297, 'Clarity of Business and Self-Understanding': 0.40150295694669086, 'Practical Preparation and Readiness': 0.9328307112058004, 'Technology and Platform Requirements': 0.47594595452149707, 'Business Information and Supporting Documents': 0.7834333777427673, 'No Preparation Needed': 0.001136195819223455, 'Time Availability and Commitment': 0.3439186215400696, 'Product Presentation and Portfolio Materials': 0.638509139418602, 'Contact Details and Communication Channels': 0.5857762893040975, 'Active Listening and Openness to Feedback': 0.6272827883561453, 'Goal Clarity and Direction Setting': 0.6503885587056478, 'Understanding Mentor Background': 0.1595805938510845, 'Social Media and Digital Presence': 0.44188134868939716}",,,
Tener claro qué quiere lograr.,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.8225076993306478, 'Clarity of Business and Self-Understanding': 0.7862016359965006, 'Practical Preparation and Readiness': 0.40484876930713654, 'Technology and Platform Requirements': 0.5292343298594157, 'Business Information and Supporting Documents': 0.5537941853205363, 'No Preparation Needed': 0.28541951067745686, 'Time Availability and Commitment': 0.5777849753697714, 'Product Presentation and Portfolio Materials': 0.5686378826697668, 'Contact Details and Communication Channels': 0.5593436360359192, 'Active Listening and Openness to Feedback': 0.3834095348914464, 'Goal Clarity and Direction Setting': 0.9703919092814127, 'Understanding Mentor Background': 0.04123171170552572, 'Social Media and Digital Presence': 0.6760238111019135}",,,
"In the first point of contact, there is no need for any preparation. I simply ask the entrepreneur to explain their business and identify their pain points and areas for improvement. From there, for the next mentoring session, I will provide them with a list of things I need to address their concerns and implement new strategies. This will allow us to collaborate effectively, tackle their challenges, and devise practical solutions for their business growth.",No Preparation Needed,['No Preparation Needed'],1.0,"{'Mindset and Motivation': 0.07197580090723932, 'Clarity of Business and Self-Understanding': 0.13303050523002943, 'Practical Preparation and Readiness': 0.02329496114786404, 'Technology and Platform Requirements': 0.05423875759394529, 'Business Information and Supporting Documents': 0.039379754452966154, 'No Preparation Needed': 0.9097366730372111, 'Time Availability and Commitment': 0.27446461624155444, 'Product Presentation and Portfolio Materials': 0.08075074222870171, 'Contact Details and Communication Channels': 0.10743492267404993, 'Active Listening and Openness to Feedback': 0.5541745026906332, 'Goal Clarity and Direction Setting': 0.04694717098027468, 'Understanding Mentor Background': 0.00893311124915878, 'Social Media and Digital Presence': 0.40744882511595887}",,,
plan to know what goals he must achieve so define the ambitions to achieve.,Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Mindset and Motivation']",2.0,"{'Mindset and Motivation': 0.7410669922828674, 'Clarity of Business and Self-Understanding': 0.2869873295227687, 'Practical Preparation and Readiness': 0.26237862557172775, 'Technology and Platform Requirements': 0.15140707790851593, 'Business Information and Supporting Documents': 0.327557976047198, 'No Preparation Needed': 0.0002570932677675349, 'Time Availability and Commitment': 0.13262911218528947, 'Product Presentation and Portfolio Materials': 0.2878461380799611, 'Contact Details and Communication Channels': 0.1869630217552185, 'Active Listening and Openness to Feedback': 0.06287356807539861, 'Goal Clarity and Direction Setting': 0.9483776688575745, 'Understanding Mentor Background': 0.0462041306309402, 'Social Media and Digital Presence': 0.5258267521858215}",,,
Estar dispuesto a aprender y a aplicar lo aprendido.,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.8643662929534912, 'Clarity of Business and Self-Understanding': 0.30690479030211765, 'Practical Preparation and Readiness': 0.8358874122301737, 'Technology and Platform Requirements': 0.5877273827791214, 'Business Information and Supporting Documents': 0.5119655132293701, 'No Preparation Needed': 0.0017872206129444141, 'Time Availability and Commitment': 0.32922840242584545, 'Product Presentation and Portfolio Materials': 0.5994014491637548, 'Contact Details and Communication Channels': 0.6273031433423361, 'Active Listening and Openness to Feedback': 0.7804830074310303, 'Goal Clarity and Direction Setting': 0.5461160242557526, 'Understanding Mentor Background': 0.4082229534784953, 'Social Media and Digital Presence': 0.7215937972068787}",,,
mempunyai semangat untuk berusaha,Mindset and Motivation,"['Mindset and Motivation', 'Product Presentation and Portfolio Materials', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.9794479608535767, 'Clarity of Business and Self-Understanding': 0.47546182076136273, 'Practical Preparation and Readiness': 0.6717295547326406, 'Technology and Platform Requirements': 0.5315805375576019, 'Business Information and Supporting Documents': 0.5523618757724762, 'No Preparation Needed': 0.29055235783259076, 'Time Availability and Commitment': 0.5864347269137701, 'Product Presentation and Portfolio Materials': 0.7754438519477844, 'Contact Details and Communication Channels': 0.8650726874669393, 'Active Listening and Openness to Feedback': 0.8898937503496805, 'Goal Clarity and Direction Setting': 0.9092414577802023, 'Understanding Mentor Background': 0.5569425622622172, 'Social Media and Digital Presence': 0.8302096128463745}",,,
