text,primary_label,all_labels,num_labels,all_raw_scores,top_label,top_score,final_label
"Antes de embarcarse en una mentoría conmigo, es importante que el emprendedor realice ciertas acciones para aprovechar al máximo esta experiencia:

	1.	Definir Objetivos Claros: El emprendedor debe tener una comprensión clara de lo que busca lograr con la mentoría. Definir metas y objetivos específicos ayudará a enfocar la colaboración.
	2.	Identificar Desafíos y Preguntas: Es útil que el emprendedor identifique los desafíos y las preguntas específicas que tiene en mente. Esto permitirá abordar áreas de interés de manera efectiva.
	3.	Investigar Mi Experiencia: Será beneficioso que el emprendedor se tome el tiempo para investigar mi experiencia y antecedentes en marketing digital y negocios. Esto proporcionará un contexto útil para la mentoría.
	4.	Preparar Preguntas Relevantes: El emprendedor debe preparar una lista de preguntas y temas que le gustaría discutir durante las sesiones de mentoría. Esto ayudará a mantener las conversaciones enfocadas y productivas.
	5.	Ser Abierto a la Retroalimentación: La disposición a recibir comentarios constructivos es esencial. El emprendedor debe estar preparado para escuchar y considerar nuevas perspectivas y enfoques.
	6.	Flexibilidad y Adaptabilidad: La mentoría puede implicar ajustes en las estrategias y enfoques actuales. El emprendedor debe estar dispuesto a ser flexible y adaptarse a las recomendaciones y orientación proporcionadas.
	7.	Compromiso y Coherencia: Es importante que el emprendedor esté comprometido con el proceso de mentoría y participe de manera constante en las sesiones programadas.
	8.	Registrar y Tomar Notas: Llevar un registro de las discusiones y tomar notas durante las sesiones de mentoría ayudará al emprendedor a retener información valiosa y seguir las recomendaciones.",Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.9973201751708984, 'Clarity of Business and Self-Understanding': 0.997209906578064, 'Practical Preparation and Readiness': 0.9965451757113138, 'Technology and Platform Requirements': 0.9971101880073547, 'Business Information and Supporting Documents': 0.9969887137413025, 'No Preparation Needed': 0.9964069326718649, 'Time Availability and Commitment': 0.9967920581499735, 'Product Presentation and Portfolio Materials': 0.9967714746793112, 'Contact Details and Communication Channels': 0.9969347914059957, 'Active Listening and Openness to Feedback': 0.9967342019081116, 'Goal Clarity and Direction Setting': 0.9970239996910095, 'Understanding Mentor Background': 0.9963902433713278, 'Social Media and Digital Presence': 0.9973430236180624}",,,
"Estar seguro que quiere emprender, cual es u punto de partida y minimo cual es su punto de llegada, estar dispuesto a llevar una disciplina en las estrategias que podemos crear ambos de acuerdo a las necesidades de su emprendimiento y conocerlas muy bien, sobre todo sinceridad de su situacion actual para poder juntos recorrer este camino",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.533532922466596, 'Clarity of Business and Self-Understanding': 0.8750230272610983, 'Practical Preparation and Readiness': 0.6805869142214457, 'Technology and Platform Requirements': 0.31821154554684955, 'Business Information and Supporting Documents': 0.4897866944471995, 'No Preparation Needed': 0.0002192802494391799, 'Time Availability and Commitment': 0.389779972533385, 'Product Presentation and Portfolio Materials': 0.46025246878465015, 'Contact Details and Communication Channels': 0.4849473337332408, 'Active Listening and Openness to Feedback': 0.88930743932724, 'Goal Clarity and Direction Setting': 0.7549519042174021, 'Understanding Mentor Background': 0.05018721588809664, 'Social Media and Digital Presence': 0.644919882218043}",,,
Tener ganas de aprender.,Mindset and Motivation,"['Mindset and Motivation', 'Active Listening and Openness to Feedback', 'Contact Details and Communication Channels']",3.0,"{'Mindset and Motivation': 0.8847973346710205, 'Clarity of Business and Self-Understanding': 0.36709929009278613, 'Practical Preparation and Readiness': 0.2818583548069, 'Technology and Platform Requirements': 0.46671261234829825, 'Business Information and Supporting Documents': 0.30587347348531085, 'No Preparation Needed': 0.03905489481985569, 'Time Availability and Commitment': 0.4645068496465683, 'Product Presentation and Portfolio Materials': 0.5456846455732981, 'Contact Details and Communication Channels': 0.6932027836640676, 'Active Listening and Openness to Feedback': 0.8313713073730469, 'Goal Clarity and Direction Setting': 0.7235017021497091, 'Understanding Mentor Background': 0.5455005665620168, 'Social Media and Digital Presence': 0.6475205222765604}",,,
Be prepared to discuss (1) where they are in terms of their professional life; (2) what their goal(s) is/are; (3) where they are on achieving said goals; and (4) where the main known pain points are.,UNKNOWN,['UNKNOWN'],1.0,"{'Mindset and Motivation': 0.03351366011581073, 'Clarity of Business and Self-Understanding': 0.31295218660185736, 'Practical Preparation and Readiness': 0.5594689105637372, 'Technology and Platform Requirements': 0.0023279250017367303, 'Business Information and Supporting Documents': 0.0074645405014355974, 'No Preparation Needed': 6.905757497103575e-05, 'Time Availability and Commitment': 0.007728603823731343, 'Product Presentation and Portfolio Materials': 0.009961842248837153, 'Contact Details and Communication Channels': 0.008163878150905171, 'Active Listening and Openness to Feedback': 0.25054726501305896, 'Goal Clarity and Direction Setting': 0.5825400253136953, 'Understanding Mentor Background': 0.0030392639649411044, 'Social Media and Digital Presence': 0.043391524348407984}",,,
الشفافية و الوضوع في كافة المعلومات عن المؤسسة حتي استطيع التحليل الدقيق و الصحيح لكافة الاعمال المطلوبة,Business Information and Supporting Documents,"['Business Information and Supporting Documents', 'Clarity of Business and Self-Understanding']",2.0,"{'Mindset and Motivation': 0.008971370077536752, 'Clarity of Business and Self-Understanding': 0.6702656323711077, 'Practical Preparation and Readiness': 0.4045147995154063, 'Technology and Platform Requirements': 0.4189288119475047, 'Business Information and Supporting Documents': 0.9010103543599447, 'No Preparation Needed': 0.0016227640565678787, 'Time Availability and Commitment': 0.5488322377204895, 'Product Presentation and Portfolio Materials': 0.5169413387775421, 'Contact Details and Communication Channels': 0.5168313334385554, 'Active Listening and Openness to Feedback': 0.45154132197300595, 'Goal Clarity and Direction Setting': 0.49631261080503464, 'Understanding Mentor Background': 0.005707109269375603, 'Social Media and Digital Presence': 0.3684842319538196}",,,
"Preguntas específicas de cómo mejorar su negocio, y si tienen alguna imagen o cuenta de redes tenerla a la mano para poder revisarlas y formar una opinion e idea de la forma en como se presenta ante el mercado.",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Social Media and Digital Presence', 'Product Presentation and Portfolio Materials']",3.0,"{'Mindset and Motivation': 0.015068960298473636, 'Clarity of Business and Self-Understanding': 0.7839566866556803, 'Practical Preparation and Readiness': 0.036409818567335606, 'Technology and Platform Requirements': 0.048995474547458194, 'Business Information and Supporting Documents': 0.2940479169289271, 'No Preparation Needed': 0.00032609980068324756, 'Time Availability and Commitment': 0.1659497693181038, 'Product Presentation and Portfolio Materials': 0.6011536698788404, 'Contact Details and Communication Channels': 0.3492345209233463, 'Active Listening and Openness to Feedback': 0.4425017635027568, 'Goal Clarity and Direction Setting': 0.18144502645979324, 'Understanding Mentor Background': 0.004856045251168932, 'Social Media and Digital Presence': 0.8356851736704508}",,,
"Before beginning a mentoring relationship with me, here’s what an entrepreneur should do to prepare:

1. Clarify Your Goals: Take time to clearly define what you want to achieve through our mentoring relationship. Identify specific areas where you need guidance or improvement, and set realistic goals that we can work on together.

2. Reflect on Your Current Situation: Assess where you currently stand in your entrepreneurial journey. Consider your strengths, weaknesses, challenges, and opportunities. This self-reflection will help us tailor our sessions to address your unique needs and aspirations.

3. Be Ready for Open Communication: Prepare to engage in honest and transparent conversations. Think about any challenges or concerns you have, and be ready to share them openly. Building a strong rapport requires trust and willingness to discuss both successes and struggles.

4. Embrace a Learning Mindset: Approach our mentoring relationship with a willingness to learn and grow. Be open to new ideas, feedback, and constructive criticism. The more receptive you are, the more you’ll benefit from the experience.

5. Plan to Be Proactive: Consider how you will take an active role in the mentoring process. Come prepared with questions, seek feedback regularly, and take initiative in applying what you learn. Your engagement is key to making the most of our time together.

6. Understand the Shared Responsibility: Recognize that mentoring is a partnership. Be prepared to take responsibility for your progress, just as I will be dedicated to guiding you. This shared commitment will ensure that we both contribute to your success.

7. Commit to Professionalism and Respect: Reflect on the importance of mutual respect and professionalism in our interactions. Be ready to respect the time, effort, and experience I bring, and I will do the same for your journey and aspirations.

8. Focus on Long-Term Growth: Think about your long-term goals and how our mentoring relationship can help you achieve sustainable success. Be prepared to work not just on immediate challenges but also on developing the tools and mindset needed for future growth.

By taking these steps before we begin, you’ll be well-prepared to maximize the benefits of our mentoring relationship, setting the stage for meaningful and lasting success.",Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.9848570624987284, 'Clarity of Business and Self-Understanding': 0.9865333636601766, 'Practical Preparation and Readiness': 0.984104335308075, 'Technology and Platform Requirements': 0.9845154682795206, 'Business Information and Supporting Documents': 0.9879645506540934, 'No Preparation Needed': 0.45958999792734784, 'Time Availability and Commitment': 0.983830451965332, 'Product Presentation and Portfolio Materials': 0.9869969288508097, 'Contact Details and Communication Channels': 0.9880506793657938, 'Active Listening and Openness to Feedback': 0.9863979617754618, 'Goal Clarity and Direction Setting': 0.9919673403104147, 'Understanding Mentor Background': 0.9837373892466227, 'Social Media and Digital Presence': 0.9877626299858093}",,,
"Be open to ideas, think widely broadly and critically at all perspectives in the field they wish to venture",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Mindset and Motivation', 'Clarity of Business and Self-Understanding']",3.0,"{'Mindset and Motivation': 0.7007258733113607, 'Clarity of Business and Self-Understanding': 0.6163740456104279, 'Practical Preparation and Readiness': 0.01040650795524319, 'Technology and Platform Requirements': 0.2032718596359094, 'Business Information and Supporting Documents': 0.2257703663005183, 'No Preparation Needed': 0.05736679149170717, 'Time Availability and Commitment': 0.12469347349057595, 'Product Presentation and Portfolio Materials': 0.490162452061971, 'Contact Details and Communication Channels': 0.46051356693108875, 'Active Listening and Openness to Feedback': 0.9600166082382202, 'Goal Clarity and Direction Setting': 0.09440728276968002, 'Understanding Mentor Background': 0.03760077555974325, 'Social Media and Digital Presence': 0.33721137896645814}",,,
"I think it’s always helpful if one can come prepared with specific questions or discussion points. If I do not have the answers when we speak, I will certainly take the time to figure them out.",Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Active Listening and Openness to Feedback']",2.0,"{'Mindset and Motivation': 0.43703633546829224, 'Clarity of Business and Self-Understanding': 0.30044590805967647, 'Practical Preparation and Readiness': 0.9653982321421305, 'Technology and Platform Requirements': 0.4462801602979501, 'Business Information and Supporting Documents': 0.5611163775126139, 'No Preparation Needed': 9.172423112128551e-05, 'Time Availability and Commitment': 0.43818726142247516, 'Product Presentation and Portfolio Materials': 0.3731561141709487, 'Contact Details and Communication Channels': 0.396464541554451, 'Active Listening and Openness to Feedback': 0.7910568515459696, 'Goal Clarity and Direction Setting': 0.4837791919708252, 'Understanding Mentor Background': 0.20862325032552084, 'Social Media and Digital Presence': 0.44250882665316266}",,,
Estar dispuestos a escuchar y aprender,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Social Media and Digital Presence', 'Mindset and Motivation']",3.0,"{'Mindset and Motivation': 0.7121447225411733, 'Clarity of Business and Self-Understanding': 0.3872590661048889, 'Practical Preparation and Readiness': 0.6495058238506317, 'Technology and Platform Requirements': 0.640827606121699, 'Business Information and Supporting Documents': 0.6293203334013621, 'No Preparation Needed': 0.02932357710475723, 'Time Availability and Commitment': 0.5874341875314713, 'Product Presentation and Portfolio Materials': 0.5937960942586263, 'Contact Details and Communication Channels': 0.6843191782633463, 'Active Listening and Openness to Feedback': 0.9360105991363525, 'Goal Clarity and Direction Setting': 0.6084803541501363, 'Understanding Mentor Background': 0.6857851445674896, 'Social Media and Digital Presence': 0.7895779013633728}",,,
