text,primary_label,all_labels,num_labels,all_raw_scores
"I like to work with people with a can-do attitude.  My mentors should invest time in  pre-work before every session, so we can advance together towards a mutual goal.",Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Contact Details and Communication Channels']",3,"{'Mindset and Motivation': 0.754262367884318, 'Clarity of Business and Self-Understanding': 0.40968673427899677, 'Practical Preparation and Readiness': 0.9565022786458334, 'Technology and Platform Requirements': 0.5181205732127031, 'Business Information and Supporting Documents': 0.5392119189103445, 'No Preparation Needed': 0.0008774893891920025, 'Time Availability and Commitment': 0.5149781803290049, 'Product Presentation and Portfolio Materials': 0.5237458298603693, 'Contact Details and Communication Channels': 0.7706656058629354, 'Active Listening and Openness to Feedback': 0.8311545054117838, 'Goal Clarity and Direction Setting': 0.7462223569552103, 'Understanding Mentor Background': 0.38547516365845996, 'Social Media and Digital Presence': 0.6141847670078278}"
kemauan untuk mendalami hal bisnis yang bersangkutan dalam pariwisata dan juga keuangan,Business Information and Supporting Documents,['Business Information and Supporting Documents'],1,"{'Mindset and Motivation': 0.25998510140925646, 'Clarity of Business and Self-Understanding': 0.5186593756079674, 'Practical Preparation and Readiness': 0.12556064253052077, 'Technology and Platform Requirements': 0.12250852305442095, 'Business Information and Supporting Documents': 0.7216286261876425, 'No Preparation Needed': 0.00048046450441082317, 'Time Availability and Commitment': 0.08854885709782441, 'Product Presentation and Portfolio Materials': 0.36322201291720074, 'Contact Details and Communication Channels': 0.4711202730735143, 'Active Listening and Openness to Feedback': 0.5898332893848419, 'Goal Clarity and Direction Setting': 0.4741111248731613, 'Understanding Mentor Background': 0.0029419094401722154, 'Social Media and Digital Presence': 0.1240580730761091}"
"Hal yang perlu disiapkan adalah niat, komitmen, ide yang dapat direalisasikan, dan kemahiran dalam penggunaan teknologi.",Technology and Platform Requirements,"['Technology and Platform Requirements', 'Mindset and Motivation', 'Practical Preparation and Readiness']",3,"{'Mindset and Motivation': 0.7497963507970175, 'Clarity of Business and Self-Understanding': 0.04281103859345118, 'Practical Preparation and Readiness': 0.7466729879379272, 'Technology and Platform Requirements': 0.7533813416957855, 'Business Information and Supporting Documents': 0.06480078771710396, 'No Preparation Needed': 7.200138255332907e-05, 'Time Availability and Commitment': 0.09077860228717327, 'Product Presentation and Portfolio Materials': 0.3619656612475713, 'Contact Details and Communication Channels': 0.3264829305311044, 'Active Listening and Openness to Feedback': 0.03154557260374228, 'Goal Clarity and Direction Setting': 0.7402125696341196, 'Understanding Mentor Background': 0.010198246483923867, 'Social Media and Digital Presence': 0.4873950779438019}"
"Enough time
Be open 
Own the process",Time Availability and Commitment,"['Time Availability and Commitment', 'Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness']",3,"{'Mindset and Motivation': 0.43864427010218304, 'Clarity of Business and Self-Understanding': 0.6092884341875712, 'Practical Preparation and Readiness': 0.7340148091316223, 'Technology and Platform Requirements': 0.19334805694719157, 'Business Information and Supporting Documents': 0.39102573692798615, 'No Preparation Needed': 0.023460987024009228, 'Time Availability and Commitment': 0.8192718227704366, 'Product Presentation and Portfolio Materials': 0.4744212528069814, 'Contact Details and Communication Channels': 0.5545801520347595, 'Active Listening and Openness to Feedback': 0.7074196934700012, 'Goal Clarity and Direction Setting': 0.7048078179359436, 'Understanding Mentor Background': 0.4079001148541768, 'Social Media and Digital Presence': 0.4518438105781873}"
"It would be ideal to look after a specific challenge the company faces, or a specific goal the company has. 
I would also love to hear their expectations on our mentoring relationship and how can we draw the best value out of this collaboration.",Goal Clarity and Direction Setting,['Goal Clarity and Direction Setting'],1,"{'Mindset and Motivation': 0.023691651702392846, 'Clarity of Business and Self-Understanding': 0.19404008829345307, 'Practical Preparation and Readiness': 0.06912936763061832, 'Technology and Platform Requirements': 0.14469929512900612, 'Business Information and Supporting Documents': 0.14556576435764632, 'No Preparation Needed': 0.00029772462100178626, 'Time Availability and Commitment': 0.06135218714674314, 'Product Presentation and Portfolio Materials': 0.06823661240438621, 'Contact Details and Communication Channels': 0.03733149139831463, 'Active Listening and Openness to Feedback': 0.5198183755079905, 'Goal Clarity and Direction Setting': 0.6570726328839859, 'Understanding Mentor Background': 0.0004369798116385937, 'Social Media and Digital Presence': 0.11241706134751439}"
"Written brief on their personal and business goals, and gaps that they think need to be filled.",Clarity of Business and Self-Understanding,['Clarity of Business and Self-Understanding'],1,"{'Mindset and Motivation': 0.29730068694334477, 'Clarity of Business and Self-Understanding': 0.8513164321581522, 'Practical Preparation and Readiness': 0.0016592368677568932, 'Technology and Platform Requirements': 0.00036765746093199897, 'Business Information and Supporting Documents': 0.006532783969305456, 'No Preparation Needed': 0.00016507333930348977, 'Time Availability and Commitment': 0.010904747759923339, 'Product Presentation and Portfolio Materials': 0.0017137628650137533, 'Contact Details and Communication Channels': 0.0022978701551134386, 'Active Listening and Openness to Feedback': 0.012148890023430189, 'Goal Clarity and Direction Setting': 0.32866094013055164, 'Understanding Mentor Background': 0.00023385723761748523, 'Social Media and Digital Presence': 0.016691440134309232}"
ان يعرف جوانب واسس المشروع قبل ان يبدأ بالقيام به .,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",2,"{'Mindset and Motivation': 0.29346452467143536, 'Clarity of Business and Self-Understanding': 0.8312505483627319, 'Practical Preparation and Readiness': 0.47258134682973224, 'Technology and Platform Requirements': 0.5550337135791779, 'Business Information and Supporting Documents': 0.5897104243437449, 'No Preparation Needed': 0.00013457400928018615, 'Time Availability and Commitment': 0.3336655671397845, 'Product Presentation and Portfolio Materials': 0.4835677295923233, 'Contact Details and Communication Channels': 0.3560168494780858, 'Active Listening and Openness to Feedback': 0.4139869461456935, 'Goal Clarity and Direction Setting': 0.7300374607245127, 'Understanding Mentor Background': 0.002053895907010883, 'Social Media and Digital Presence': 0.12356485923131307}"
Have courage to take risks,Mindset and Motivation,"['Mindset and Motivation', 'Product Presentation and Portfolio Materials', 'Social Media and Digital Presence']",3,"{'Mindset and Motivation': 0.8914462129275004, 'Clarity of Business and Self-Understanding': 0.19942155480384827, 'Practical Preparation and Readiness': 0.21833476796746254, 'Technology and Platform Requirements': 0.477578729391098, 'Business Information and Supporting Documents': 0.5848679939905802, 'No Preparation Needed': 0.010719872700671354, 'Time Availability and Commitment': 0.2308546733111143, 'Product Presentation and Portfolio Materials': 0.753040611743927, 'Contact Details and Communication Channels': 0.7191170454025269, 'Active Listening and Openness to Feedback': 0.6159270902474722, 'Goal Clarity and Direction Setting': 0.4762590527534485, 'Understanding Mentor Background': 0.35770012935002643, 'Social Media and Digital Presence': 0.8002555767695109}"
Think about one question 'what important truth do very few people agree with you on?',UNKNOWN,['UNKNOWN'],1,"{'Mindset and Motivation': 0.2859288106362025, 'Clarity of Business and Self-Understanding': 0.1506988306840261, 'Practical Preparation and Readiness': 0.15802747864897052, 'Technology and Platform Requirements': 0.14315148644770184, 'Business Information and Supporting Documents': 0.2688457816839218, 'No Preparation Needed': 0.2449133557577928, 'Time Availability and Commitment': 0.424429327249527, 'Product Presentation and Portfolio Materials': 0.3867432978004217, 'Contact Details and Communication Channels': 0.0869678221642971, 'Active Listening and Openness to Feedback': 0.40681130687395733, 'Goal Clarity and Direction Setting': 0.349729523062706, 'Understanding Mentor Background': 0.03553886339068413, 'Social Media and Digital Presence': 0.28027132401863736}"
Be able to learn (and teach).,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting', 'Mindset and Motivation']",3,"{'Mindset and Motivation': 0.6121635114153227, 'Clarity of Business and Self-Understanding': 0.23921201502283415, 'Practical Preparation and Readiness': 0.7368453542391459, 'Technology and Platform Requirements': 0.5874831676483154, 'Business Information and Supporting Documents': 0.5252164304256439, 'No Preparation Needed': 0.08339374388257663, 'Time Availability and Commitment': 0.4691065525015195, 'Product Presentation and Portfolio Materials': 0.5828754355510076, 'Contact Details and Communication Channels': 0.6835493743419647, 'Active Listening and Openness to Feedback': 0.8206309080123901, 'Goal Clarity and Direction Setting': 0.7716161807378134, 'Understanding Mentor Background': 0.2093091911325852, 'Social Media and Digital Presence': 0.6395577092965444}"
They should an understanding of their strengths and weaknesses and be willing to put in the hard work to improve any skill deficiencies,Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Mindset and Motivation', 'Product Presentation and Portfolio Materials']",3,"{'Mindset and Motivation': 0.6623436609903971, 'Clarity of Business and Self-Understanding': 0.5700460076332092, 'Practical Preparation and Readiness': 0.8050354719161987, 'Technology and Platform Requirements': 0.33365246281027794, 'Business Information and Supporting Documents': 0.500681608915329, 'No Preparation Needed': 9.795066337877263e-05, 'Time Availability and Commitment': 0.4864918651680152, 'Product Presentation and Portfolio Materials': 0.6515532732009888, 'Contact Details and Communication Channels': 0.6865488787492117, 'Active Listening and Openness to Feedback': 0.7077876726786295, 'Goal Clarity and Direction Setting': 0.5318599243958791, 'Understanding Mentor Background': 0.14606915414333344, 'Social Media and Digital Presence': 0.7253863910833994}"
